OID_,ref,site_id,lat,lon,RSG,Sand,Silt,Clay,Slope,Elevation,MAT,MAP,pH,TOC,TN,occ_p,mineral_p,inorg_p,org_p,avail_p,total_p,He_et_al,total_p_RF
45,Quesada et al. 2010,CUZ-03,-12.500000000000000,-68.962999999999994,Cambisols,0.050000000000000,0.520000000000000,0.420000000000000,0.099287200000000,203.000000000000000,25.500000000000000,2079.300000000000182,6.070000000000000,1.835000000000000,0.242000000000000,436.009999999999991,82.180000000000007,74.209999999999994,95.930000000000007,26.739999999999998,715.070000000000050,348.7653809,366.3263245
46,Quesada et al. 2010,HCC-21,-14.526999999999999,-60.735999999999997,Cambisols,0.220000000000000,0.390000000000000,0.400000000000000,3.965662000000000,632.100000000000023,21.399999999999999,1512.799999999999955,5.740000000000000,7.061000000000000,0.665000000000000,252.750000000000000,1.120000000000000,48.740000000000002,197.479999999999990,27.930000000000000,528.019999999999982,292.0652466,218.4352722
47,Quesada et al. 2010,CRP-01,-14.538000000000000,-61.500000000000000,Cambisols,0.630000000000000,0.190000000000000,0.180000000000000,0.651411500000000,248.099999999999994,24.199999999999999,1383.599999999999909,5.670000000000000,3.082000000000000,0.287000000000000,280.329999999999984,64.900000000000006,96.700000000000003,219.539999999999992,33.039999999999999,694.509999999999991,289.3851013,242.2461700
48,Quesada et al. 2010,SPD-02,-13.048999999999999,-71.537000000000006,Cambisols,0.380000000000000,0.450000000000000,0.180000000000000,6.284042000000000,1500.000000000000000,18.600000000000001,1673.000000000000000,3.750000000000000,13.613000000000000,0.881000000000000,1213.269999999999982,41.399999999999999,246.500000000000000,417.449999999999989,48.049999999999997,1966.670000000000073,616.1103516,805.2192383
49,Quesada et al. 2010,TUC-01,-18.524000000000001,-60.811999999999998,Cambisols,0.480000000000000,0.350000000000000,0.180000000000000,0.538248100000000,310.000000000000000,24.800000000000001,813.399999999999977,6.060000000000000,1.076000000000000,0.122000000000000,237.509999999999991,38.670000000000002,54.670000000000002,136.599999999999994,69.670000000000002,537.120000000000005,367.3115234,343.2530518
50,Quesada et al. 2010,SPD-01,-13.047000000000001,-71.542000000000002,Cambisols,0.310000000000000,0.420000000000000,0.270000000000000,8.663179000000000,1750.000000000000000,18.600000000000001,1673.000000000000000,3.650000000000000,22.661000000000001,1.195000000000000,802.950000000000045,37.899999999999999,122.599999999999994,268.149999999999977,80.780000000000001,1312.380000000000109,616.1103516,805.2192383
51,Lloyd et al. 2015,OTT-02,-16.402100000000001,-61.226399999999998,Ferralsols,0.710000000000000,0.100000000000000,0.190000000000000,0.843346800000000,444.000000000000000,24.600000000000001,1150.000000000000000,5.100000000000000,0.550000000000000,0.050000000000000,50.299999999999997,0.910000000000000,2.720000000000000,33.109999999999999,13.150000000000000,100.200000000000003,324.4284058,231.1598969
52,Lloyd et al. 2015,OTT-03,-16.402100000000001,-61.226399999999998,Ferralsols,0.650000000000000,0.180000000000000,0.170000000000000,0.843346800000000,444.000000000000000,24.600000000000001,1150.000000000000000,5.200000000000000,1.580000000000000,0.120000000000000,62.200000000000003,0.910000000000000,10.880000000000001,41.719999999999999,14.510000000000000,130.199999999999989,324.4284058,231.1598969
53,Lloyd et al. 2015,LFB-03,-14.656100000000000,-60.896200000000000,Ferralsols,0.500000000000000,0.190000000000000,0.320000000000000,0.104017800000000,186.000000000000000,24.100000000000001,1440.000000000000000,4.900000000000000,1.370000000000000,0.100000000000000,73.299999999999997,0.450000000000000,34.009999999999998,65.310000000000002,10.880000000000001,184.000000000000000,292.0652466,166.8741760
54,Lloyd et al. 2015,LFB-01,-14.656100000000000,-60.896200000000000,Ferralsols,0.740000000000000,0.060000000000000,0.200000000000000,0.104017800000000,186.000000000000000,23.899999999999999,1460.000000000000000,4.600000000000000,1.090000000000000,0.080000000000000,60.500000000000000,0.450000000000000,12.240000000000000,25.850000000000001,8.619999999999999,107.700000000000003,292.0652466,166.8741760
55,Lloyd et al. 2015,NXV-01,-14.603199999999999,-52.311300000000003,Ferralsols,0.850000000000000,0.030000000000000,0.110000000000000,0.715933600000000,291.000000000000000,25.000000000000000,1500.000000000000000,4.600000000000000,0.610000000000000,0.040000000000000,39.000000000000000,1.810000000000000,17.690000000000001,50.789999999999999,17.690000000000001,127.000000000000000,267.5539856,183.5038757
56,Lloyd et al. 2015,NXV-02,-14.603199999999999,-52.311300000000003,Ferralsols,0.750000000000000,0.070000000000000,0.180000000000000,0.715933600000000,291.000000000000000,25.000000000000000,1500.000000000000000,4.500000000000000,1.280000000000000,0.080000000000000,39.200000000000003,1.360000000000000,19.050000000000001,48.070000000000000,13.609999999999999,121.299999999999997,267.5539856,183.5038757
57,Lloyd et al. 2015,VCR-01,-14.761900000000001,-52.075499999999998,Ferralsols,0.470000000000000,0.080000000000000,0.450000000000000,0.101087100000000,280.000000000000000,25.300000000000001,1510.000000000000000,4.200000000000000,1.590000000000000,0.110000000000000,192.699999999999989,5.900000000000000,42.630000000000003,61.680000000000000,13.150000000000000,316.100000000000023,267.5539856,199.8282013
58,Lloyd et al. 2015,VCR-02,-14.761900000000001,-52.075499999999998,Ferralsols,0.660000000000000,0.100000000000000,0.240000000000000,0.101087100000000,280.000000000000000,25.199999999999999,1510.000000000000000,4.700000000000000,1.060000000000000,0.110000000000000,77.200000000000003,1.360000000000000,22.680000000000000,40.820000000000000,16.329999999999998,158.400000000000006,267.5539856,199.8282013
59,Lloyd et al. 2015,FLO-01,-12.751300000000001,-51.839599999999997,Ferralsols,0.780000000000000,0.060000000000000,0.160000000000000,0.967889200000000,368.000000000000000,25.500000000000000,1610.000000000000000,4.200000000000000,0.900000000000000,0.060000000000000,65.099999999999994,1.810000000000000,12.699999999999999,25.399999999999999,12.240000000000000,117.299999999999997,219.4140778,175.9424133
60,Lloyd et al. 2015,TAP-123,-3.227500000000000,-54.952800000000003,Ferralsols,0.230000000000000,0.100000000000000,0.660000000000000,0.801028100000000,153.000000000000000,25.899999999999999,1880.000000000000000,3.800000000000000,1.640000000000000,0.120000000000000,43.299999999999997,1.360000000000000,16.329999999999998,12.699999999999999,5.440000000000000,79.099999999999994,240.9686584,189.9276123
61,Lloyd et al. 2015,TAP-04,-2.751300000000000,-54.952800000000003,Ferralsols,0.020000000000000,0.080000000000000,0.890000000000000,0.618374700000000,182.000000000000000,25.100000000000001,1960.000000000000000,3.800000000000000,2.360000000000000,0.170000000000000,124.599999999999994,0.910000000000000,24.940000000000001,32.200000000000003,9.980000000000000,192.599999999999994,335.5727539,180.8763580
62,Quesada et al. 2010,JRI-01,-0.894000000000000,-52.189999999999998,Ferralsols,0.040000000000000,0.150000000000000,0.810000000000000,1.159588000000000,80.500000000000000,26.800000000000001,2377.099999999999909,4.050000000000000,2.273000000000000,0.173000000000000,143.719999999999999,0.280000000000000,15.070000000000000,26.770000000000000,3.290000000000000,189.129999999999995,222.0184174,204.1198120
63,Quesada et al. 2010,TAP-123,-3.309000000000000,-54.939999999999998,Ferralsols,0.230000000000000,0.100000000000000,0.660000000000000,0.560350200000000,145.400000000000006,25.399999999999999,1883.099999999999909,3.780000000000000,1.640000000000000,0.120000000000000,43.270000000000003,1.330000000000000,16.770000000000000,12.150000000000000,5.370000000000000,78.890000000000001,240.9686584,139.2334747
64,Quesada et al. 2010,CAX-06,-1.720000000000000,-51.457999999999998,Ferralsols,0.330000000000000,0.140000000000000,0.540000000000000,0.125013700000000,42.000000000000000,26.699999999999999,2211.900000000000091,3.790000000000000,1.679000000000000,0.128000000000000,115.019999999999996,0.580000000000000,25.550000000000001,23.879999999999999,13.430000000000000,178.460000000000008,505.1673889,199.7401428
65,Quesada et al. 2010,SIP-01,-11.411000000000000,-55.325000000000003,Ferralsols,0.860000000000000,0.040000000000000,0.100000000000000,0.731626600000000,326.000000000000000,25.000000000000000,1854.400000000000091,4.190000000000000,1.071000000000000,0.075000000000000,29.850000000000001,1.200000000000000,7.360000000000000,14.500000000000000,8.340000000000000,61.250000000000000,293.1218567,143.6892853
66,Quesada et al. 2010,FLO-01,-12.813000000000001,-51.853999999999999,Ferralsols,0.780000000000000,0.060000000000000,0.160000000000000,0.718029100000000,351.600000000000023,25.500000000000000,1613.099999999999909,4.200000000000000,0.903000000000000,0.062000000000000,65.140000000000001,1.630000000000000,12.750000000000000,25.410000000000000,12.100000000000000,117.030000000000001,219.4140778,175.9424133
67,Quesada et al. 2010,BNT-04,-2.628000000000000,-60.152999999999999,Ferralsols,0.160000000000000,0.160000000000000,0.680000000000000,0.122586100000000,94.599999999999994,27.100000000000001,2245.699999999999818,4.240000000000000,2.168000000000000,0.162000000000000,84.480000000000004,1.050000000000000,13.529999999999999,8.539999999999999,3.700000000000000,111.299999999999997,351.7713013,166.0894012
68,Quesada et al. 2010,LFB-01,-14.579000000000001,-60.831000000000003,Ferralsols,0.740000000000000,0.060000000000000,0.200000000000000,0.259927300000000,299.399999999999977,23.899999999999999,1451.200000000000045,4.630000000000000,1.085000000000000,0.083000000000000,60.990000000000002,0.610000000000000,9.400000000000000,25.949999999999999,6.920000000000000,103.870000000000005,292.0652466,200.2956696
