id,nx,ny,lat,lon,Sand,Silt,Clay,Slope,Elevation,MAT,MAP,pH,TOC,TN,SRG_Acrisols,SRG_Alisols,SRG_Andosols,SRG_Arenosols,SRG_Cambisols,SRG_Ferralsols,SRG_Fluvisols,SRG_Gleysols,SRG_Lixisols,SRG_Luvisols,SRG_Nitisols,SRG_Plinthosols,SRG_Podzol,SRG_Regosols,SRG_Umbrisols
92,238,168,5.75,-60.75,0.5526,0.1683,0.2791,3.1674,850.6417,23.0944,1523.5,4.707,1.5755,0.16639,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
93,239,168,5.75,-60.25,0.7892,0.1312,0.0796,2.661,606.3906,23.0139,1847.6389,4.551,2.1143,0.14204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,240,168,5.75,-59.75,0.719,0.1207,0.1603,3.7368,482.7767,25.3611,2416.1667,4.564,1.9296,0.10383,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,241,168,5.75,-59.25,0.7813,0.0589,0.1598,0.6848,125.6819,26.0722,2657,4.252,1.0419,0.08743,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
96,242,168,5.75,-58.75,0.9021,0.0319,0.066,0.6228,112.5056,26.1444,2686.75,4.653,0.8528,0.07731,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
97,243,168,5.75,-58.25,0.907,0.0255,0.0675,0.5281,67.58,26.3722,2419.7222,4.8,0.9155,0.07468,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
98,244,168,5.75,-57.75,0.4202,0.2932,0.1866,0.2307,41.085,26.8306,1902.8334,4.516,6.7694,0.11806,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
99,245,168,5.75,-57.25,0.3362,0.3278,0.3257,0.1706,13.3856,27.1889,1905.1666,5.0577,4.23144,0.11616,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
100,246,168,5.75,-56.75,0.2456,0.2313,0.2344,0.1106,7.599,27.2694,1919.6389,4.601,16.33392,0.21228,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
101,247,168,5.75,-56.25,0.2013,0.184,0.1898,0.1036,8.8337,27.1613,1768.6129,4.3775,22.262,0.35824,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
